(0.46736023914396907, 11, (0.005, 0.0001))
(0.46623758174355634, 31, (0.005, 0.001))
(0.4563240676199935, 39, (0.001, 0.001))
(0.4542956842469036, 8, (0.005, 5e-05))
(0.4247672351438688, 9, (0.005, 1e-05))
(0.41563567780361743, 37, (0.001, 0.0001))
(0.3957110212929368, 36, (0.001, 5e-05))
(0.364768803809116, 39, (0.001, 1e-05))
(0.316196417540153, 38, (0.0005, 0.0001))
(0.3155279127297354, 39, (0.0005, 5e-05))
(0.3094322244077833, 36, (0.0005, 0.001))
(0.30910052988355774, 32, (0.0005, 1e-05))
(0.3083745988750527, 39, (0.0001, 5e-05))
(0.2998242793352642, 39, (0.0001, 0.0001))
(0.2985829971968201, 36, (0.0001, 1e-05))
(0.2410001858282755, 39, (0.0001, 0.001))
